No	区分	キーワード	SEO難易度	月間検索数	判定	検索意図	ページ種類	トピック	狙い目	要確認	ページグループ	想定記事タイトル	カテゴリ
688	＋α	不動産投資 電話営業	30	50	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
689	＋α	不動産投資 デッドクロスとは	N/A	10	解説記事	Know（基礎知識を知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
690	＋α	不動産投資 どこがいい	N/A	40	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
691	＋α	不動産投資 どうなの	N/A	20	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
692	＋α	不動産投資 どうやる	59	0	削除			検索なし					
693	＋α	不動産投資 ドバイ	21	210	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
694	＋α	不動産投資 どうやって利益	N/A	0	削除			検索なし	◎				
695	＋α	不動産投資 動画	N/A	40	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
696	＋α	不動産投資 どう	N/A	10	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
697	＋α	不動産投資 動向	N/A	10	解説記事	Know（今後の見通しを知りたい）	解説記事	市場動向	◎		市場動向	不動産投資の今後｜市場動向と将来性を分析	始め方ガイド
698	＋α	不動産投資 独立	42	10	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説			基礎解説		基礎解説
699	＋α	不動産投資 どこで 買う	31	40	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
700	＋α	不動産投資 売却 税金	28	140	解説記事	Know（節税・税金の実務を知りたい）	実践ガイド	節税・税金	◎		節税基礎	不動産投資の節税・税金の基礎知識まとめ	税金・節税
701	＋α	不動産投資 売却	31	170	体験記事	Know（売却・出口戦略のリアルを知りたい）	体験談	売却・出口	◎		売却・出口戦略	不動産投資の出口戦略｜売却タイミングの判断基準	大家の実務
702	＋α	不動産投資 売却タイミング	26	40	体験記事	Know（売却・出口戦略のリアルを知りたい）	体験談	売却・出口	◎		売却・出口戦略	不動産投資の出口戦略｜売却タイミングの判断基準	大家の実務
703	＋α	不動産投資 売却益	N/A	40	体験記事	Know（売却・出口戦略のリアルを知りたい）	体験談	売却・出口	◎		売却・出口戦略	不動産投資の出口戦略｜売却タイミングの判断基準	大家の実務
704	＋α	不動産投資 売却 確定申告	50	30	解説記事	Know（節税・税金の実務を知りたい）	実践ガイド	節税・税金			確定申告	不動産投資の確定申告やり方ガイド｜初年度の体験談	税金・節税
705	＋α	不動産投資 売却益 計算	46	10	体験記事	Know（売却・出口戦略のリアルを知りたい）	体験談	売却・出口		要確認	売却・出口戦略	不動産投資の出口戦略｜売却タイミングの判断基準	大家の実務
706	＋α	不動産投資 バブル	27	20	解説記事	Know（市場の変動を知りたい）	解説記事	市場動向	◎		市場動向	不動産投資の今後｜市場動向と将来性を分析	始め方ガイド
707	＋α	不動産投資 ババ抜き	N/A	10	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
708	＋α	不動産投資 売却 5年	N/A	0	削除			検索なし	◎				
709	＋α	不動産投資 バランスシート	N/A	10	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
710	＋α	不動産投資 ビル一棟	40	20	体験記事	Know（物件選びの実体験を知りたい）	体験談	物件選び			アパート一棟投資	アパート一棟買い投資の体験談｜メリットと注意点	物件選び
711	＋α	不動産投資 ビジネスモデル	N/A	20	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
712	＋α	不動産投資 ビル	N/A	40	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
713	＋α	不動産投資 ビジネス	44	10	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説			基礎解説		基礎解説
714	＋α	不動産投資 ビザ	17	10	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
715	＋α	不動産投資 ビルオーナー	27	10	体験記事	Know（運営のリアルを知りたい）	体験談	管理・運営	◎		管理・運営		大家の実務
716	＋α	不動産投資 ビット	46	0	削除			検索なし					
717	＋α	不動産投資 ビークル	23	10	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
718	＋α	不動産投資 ビル 利回り	N/A	0	削除			検索なし	◎				
719	＋α	不動産投資 貧乏	21	10	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
720	＋α	不動産投資 物件	39	720	体験記事	Know（物件選びの実体験を知りたい）	体験談	物件選び	◎		物件選び基礎	不動産投資の物件探し｜優良物件を見つける方法	物件選び
721	＋α	不動産投資 ブログ	37	720	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
722	＋α	不動産投資 物件 探し方	29	110	体験記事	Know（物件選びの実体験を知りたい）	体験談	物件選び	◎		物件選び基礎	不動産投資の物件探し｜優良物件を見つける方法	物件選び
723	＋α	不動産投資 分散	31	50	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
724	＋α	不動産投資 物件探し	38	50	体験記事	Know（物件選びの実体験を知りたい）	体験談	物件選び	◎		物件選び基礎	不動産投資の物件探し｜優良物件を見つける方法	物件選び
725	＋α	不動産投資 分譲マンション	N/A	20	体験記事	Know（物件選びの実体験を知りたい）	体験談	物件選び	◎		マンション投資	マンション・ワンルーム投資のリアル｜メリットと注意点	物件選び
726	＋α	不動産投資 物件選び	28	30	体験記事	Know（物件選びの実体験を知りたい）	体験談	物件選び	◎		物件選び基礎	不動産投資の物件探し｜優良物件を見つける方法	物件選び
727	＋α	不動産投資 分配金	N/A	10	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
728	＋α	不動産投資 ブランド	N/A	0	削除			検索なし	◎				
729	＋α	不動産投資 分配金 確定申告	N/A	10	解説記事	Know（節税・税金の実務を知りたい）	実践ガイド	節税・税金	◎		確定申告	不動産投資の確定申告やり方ガイド｜初年度の体験談	税金・節税
730	＋α	不動産投資 勉強	38	320	解説記事	Know（不動産投資の勉強方法を知りたい）	まとめ記事	勉強・書籍	◎		勉強法	不動産投資の勉強方法｜おすすめセミナー・資格・学び方	勉強・情報収集
731	＋α	不動産投資 勉強 本	37	70	解説記事	Know（不動産投資の勉強方法を知りたい）	まとめ記事	勉強・書籍	◎		おすすめ本	不動産投資のおすすめ本ランキング｜初心者必読の10冊	勉強・情報収集
732	＋α	不動産投資 勉強会	30	50	解説記事	Know（不動産投資の勉強方法を知りたい）	まとめ記事	勉強・書籍	◎		勉強法	不動産投資の勉強方法｜おすすめセミナー・資格・学び方	勉強・情報収集
733	＋α	不動産投資 弁護士	N/A	50	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
734	＋α	不動産投資 勉強 資格	29	20	解説記事	Know（不動産投資の勉強方法を知りたい）	まとめ記事	勉強・書籍	◎		勉強法	不動産投資の勉強方法｜おすすめセミナー・資格・学び方	勉強・情報収集
735	＋α	不動産投資 勉強の仕方	30	20	解説記事	Know（不動産投資の勉強方法を知りたい）	まとめ記事	勉強・書籍	◎		勉強法	不動産投資の勉強方法｜おすすめセミナー・資格・学び方	勉強・情報収集
736	＋α	不動産投資 弁護士 相談	26	40	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
737	＋α	不動産投資 ベルテックス	N/A	30	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
738	＋α	不動産投資 別荘	N/A	10	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
739	＋α	不動産投資 弁護士 無料相談	N/A	10	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
740	＋α	不動産投資 ボロ戸建て	N/A	20	体験記事	Know（物件選びの実体験を知りたい）	体験談	物件選び	◎		戸建て投資	戸建て不動産投資の始め方｜少額から始める方法	物件選び
741	＋α	不動産投資 簿記	29	10	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
742	＋α	不動産投資 ボードゲーム	N/A	20	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
743	＋α	不動産投資 ボルテックス	43	30	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説			基礎解説		基礎解説
744	＋α	不動産投資 募集	29	10	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
745	＋α	不動産投資 暴落	N/A	10	解説記事	Know（市場の変動を知りたい）	解説記事	市場動向	◎		市場動向	不動産投資の今後｜市場動向と将来性を分析	始め方ガイド
746	＋α	不動産投資 ボロ物件	N/A	10	体験記事	Know（物件選びの実体験を知りたい）	体験談	物件選び	◎		物件選び基礎	不動産投資の物件探し｜優良物件を見つける方法	物件選び
747	＋α	不動産投資 ボロアパート	43	10	体験記事	Know（物件選びの実体験を知りたい）	体験談	物件選び			アパート一棟投資	アパート一棟買い投資の体験談｜メリットと注意点	物件選び
748	＋α	不動産投資 簿価	20	0	削除			検索なし	◎				
749	＋α	不動産投資 ボラティリティ	28	0	削除			検索なし	◎				
750	＋α	不動産投資 パソコン 経費	31	70	解説記事	Know（節税・税金の実務を知りたい）	実践ガイド	節税・税金	◎		経費	不動産投資で経費にできるもの一覧｜実際の計上体験	税金・節税
751	＋α	不動産投資 paypay	40	0	削除			検索なし					
752	＋α	不動産投資 パンフレット	24	10	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
753	＋α	不動産投資 paypayポイント	39	0	削除			検索なし	◎				
754	＋α	不動産投資 パートナーズ	32	10	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
755	＋α	不動産投資 パート	N/A	10	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
756	＋α	不動産投資 パッケージ	32	0	削除			検索なし	◎				
757	＋α	不動産投資 パートナー	N/A	10	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
758	＋α	不動産投資 パターン	N/A	10	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
759	＋α	不動産投資 paypay5万円	N/A	0	削除			検索なし	◎				
760	＋α	不動産投資 騙 され た	31	40	体験記事	Know（失敗・後悔のリアルを知りたい）	体験談	失敗・後悔談	◎		失敗体験	不動産投資の失敗談｜私が経験した失敗と教訓	失敗談・リアルな話
761	＋α	不動産投資 pim	N/A	20	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
762	＋α	ピタットハウス 不動産投資	N/A	10	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
763	＋α	pivot 不動産投資	N/A	0	削除			検索なし	◎				
764	＋α	pim 不動産投資 営業	40	10	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説			基礎解説		基礎解説
765	＋α	不動産投資 プロフィールシート テンプレート	20	40	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
766	＋α	不動産投資 プロフィールシート エクセル	N/A	40	解説記事	Do（計算したい → ooya.techへ誘導）	ツール紹介	計算→ooya.tech誘導	◎		ツール紹介	不動産投資シミュレーションツール｜無料で使える計算ツール	ツール紹介
767	＋α	不動産投資 プロフィールシート	N/A	30	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
768	＋α	不動産投資 プレステージ	N/A	40	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
769	＋α	不動産投資 プレサンス	N/A	50	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
770	＋α	不動産投資 プロパーローン	N/A	50	体験記事	Know（ローン・融資のリアルを知りたい）	体験談	ローン・融資体験	◎		ローン基礎	不動産投資ローンとは？仕組み・おすすめ銀行・選び方	融資・ローン体験
771	＋α	不動産投資 プロパティエージェント	39	50	削除			特定企業	◎				
772	＋α	不動産投資 プレサンスコーポレーション	47	0	削除			検索なし					
773	＋α	不動産投資 ペアローン	N/A	10	体験記事	Know（ローン・融資のリアルを知りたい）	体験談	ローン・融資体験	◎		ローン基礎	不動産投資ローンとは？仕組み・おすすめ銀行・選び方	融資・ローン体験
774	＋α	不動産投資 ペイペイ	31	0	削除			検索なし	◎				
775	＋α	不動産投資 ペット可	19	10	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
776	＋α	不動産投資 per	N/A	10	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
777	＋α	不動産投資 ペット	22	10	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
778	＋α	ペリカン 不動産投資	23	30	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
779	＋α	peファンド 不動産投資	29	0	削除			検索なし	◎				
780	＋α	ペーパーカンパニー 不動産投資	N/A	0	削除			検索なし	◎				
781	＋α	不動産投資 ポイント	N/A	50	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
782	＋α	不動産投資 ポイ活	38	70	削除			勧誘・広告系	◎				
783	＋α	不動産投資 ポータルサイト	26	50	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
784	＋α	不動産投資 ポイントサイト	N/A	20	削除			勧誘・広告系	◎				
785	＋α	不動産投資 ポートフォリオ	28	50	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
786	＋α	不動産投資 ポイ活 断り方	34	50	削除			勧誘・広告系	◎				
787	＋α	不動産投資 ポイント目当て	N/A	0	削除			検索なし	◎				
788	＋α	不動産投資 ポンジ・スキーム	N/A	0	削除			検索なし	◎				
789	＋α	不動産投資 cm	43	50	削除			勧誘・広告系					
790	＋α	不動産投資 camel	42	40	削除			特定企業					
791	＋α	不動産投資 cfとは	28	10	解説記事	Know（利回り・収支の実態を知りたい）	実践ガイド	利回り・収支	◎		キャッシュフロー	不動産投資のキャッシュフロー計算｜月々いくら残る？	収支・利回り
792	＋α	不動産投資 一棟	36	110	体験記事	Know（物件選びの実体験を知りたい）	体験談	物件選び	◎		アパート一棟投資	アパート一棟買い投資の体験談｜メリットと注意点	物件選び
793	＋α	不動産投資 いくらから始められる	N/A	20	体験記事	Know（不動産投資の始め方を知りたい）	体験談	始め方・初心者向け	◎	要確認	初心者向け	不動産投資初心者が知っておくべきこと｜入門ガイド	始め方ガイド
794	＋α	不動産投資 ccr	19	20	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
795	＋α	不動産投資 lp	34	40	削除			勧誘・広告系	◎				
796	＋α	不動産投資 ltv	26	10	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
797	＋α	不動産投資 ltvとは	N/A	0	削除			検索なし	◎				
798	＋α	不動産投資 ccr 目安	22	30	解説記事	Know（相場・目安を知りたい）	実践ガイド	相場・目安	◎		必要資金	不動産投資の初期費用・必要資金｜予算別の投資プラン	収支・利回り
799	＋α	不動産投資 q&a	20	10	削除			QAサイト	◎				
800	＋α	不動産投資 売り時	N/A	40	体験記事	Know（売却・出口戦略のリアルを知りたい）	体験談	売却・出口	◎		売却・出口戦略	不動産投資の出口戦略｜売却タイミングの判断基準	大家の実務
801	＋α	不動産投資 vs 株式投資	48	10	解説記事	Know（他の投資と比較したい）	比較記事	投資比較			投資比較	不動産投資vs株式投資・NISA｜どっちが良い？比較検証	始め方ガイド
802	＋α	next view 不動産投資	N/A	10	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
803	＋α	ヴェリタス 不動産投資	N/A	0	削除			検索なし	◎				
804	＋α	vortex 不動産投資	29	10	削除			特定企業	◎				
805	＋α	vertex 不動産投資	N/A	0	削除			検索なし	◎				
806	＋α	不動産投資 ccrとは	N/A	0	削除			検索なし	◎				
807	＋α	不動産投資 lenz	N/A	0	削除			検索なし	◎				
808	＋α	不動産投資 line	N/A	10	削除			勧誘・広告系	◎				
809	＋α	不動産投資 x	N/A	0	削除			検索なし	◎				
810	＋α	lifull home's 不動産投資	43	70	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説			基礎解説		基礎解説
811	＋α	lifull 不動産投資	N/A	30	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
812	＋α	landic 不動産投資	N/A	10	削除			特定企業	◎				
813	＋α	kkr 不動産投資	N/A	10	削除			特定企業	◎				
