No	区分	キーワード	SEO難易度	月間検索数	判定	検索意図	解決ニーズ	テーマ	記事の方向性	ページ種類	トピック	ページグループ	想定ページタイトル	観点	トピカル貢献	ページ役割
112	＋α	仲介手数料 0.55	31	50	削除	Know（仲介手数料の具体的条件を知りたい）	仲介手数料55%（0.55ヶ月分）の意味を知りたい	具体例	解説	ガイド記事	具体例・ケース	仲介手数料_金額別	仲介手数料の具体例｜800万円・400万円・3000万円の計算	権威構築	補足	解説記事
113	＋α	仲介手数料 0.5	25	70	記事	Know（仲介手数料の具体的条件を知りたい）	仲介手数料0.5の意味（ヶ月分？%？）を確認したい	具体例	解説	ガイド記事	具体例・ケース	仲介手数料_金額別	仲介手数料の具体例｜800万円・400万円・3000万円の計算	権威構築	補足	解説記事
114	＋α	仲介手数料 0円 なぜ	25	30	削除	Know（仲介手数料がゼロ・不要のケースを知りたい）	仲介手数料ゼロ円の物件・会社を探したい	控除・特例	解説	解説記事	非課税・ゼロ	仲介手数料値引き	仲介手数料無料・安い不動産会社の仕組み｜からくりとデメリット	権威構築	補足	解説記事
115	＋α	仲介手数料 0	22	110	記事	Know（無料の不動産会社を探したい）	仲介手数料が無料（0円）の不動産会社を探したい	具体例	解説	ガイド記事	具体例・ケース	仲介手数料値引き	仲介手数料無料・安い不動産会社の仕組み｜からくりとデメリット	権威構築	補足	解説記事
116	＋α	仲介手数料 0.5ヶ月 交渉	45	50	削除	Do（手数料を値引き交渉したい）	仲介手数料の交渉方法・成功するコツを知りたい	値引き・節約	ハウツー	ハウツー記事	交渉ガイド	仲介手数料_交渉ガイド	仲介手数料は値切れる？交渉・値引き方法｜言い方・タイミング	権威構築	補足	ハウツー
117	＋α	仲介手数料 0.5か月	N/A	10	削除	Know（期間別の仲介手数料を知りたい）	仲介手数料が家賃何ヶ月分か確認したい	時期・スケジュール	解説	ガイド記事	期間別	仲介手数料賃貸	賃貸の仲介手数料はいくら？相場・上限・交渉・無料物件の見つけ方	権威構築	補足	解説記事
118	＋α	仲介手数料 1ヶ月 違法	34	1300	記事	Know（仲介手数料の法律を確認したい）	仲介手数料1ヶ月分は上限なのか確認したい	法律・制度	解説	解説記事	法律・規制	仲介手数料上限	仲介手数料の上限はいくら？宅建業法の規定と2024年改正	権威構築	補足	解説記事
119	＋α	仲介手数料 1ヶ月	34	140	記事	Know（期間別の仲介手数料を知りたい）	仲介手数料1ヶ月分は上限なのか確認したい	時期・スケジュール	解説	ガイド記事	期間別	仲介手数料賃貸	賃貸の仲介手数料はいくら？相場・上限・交渉・無料物件の見つけ方	権威構築	補足	解説記事
120	＋α	仲介手数料 1ヶ月分	45	70	記事	Know（期間別の仲介手数料を知りたい）	仲介手数料1ヶ月分は上限なのか確認したい	時期・スケジュール	解説	ガイド記事	期間別	仲介手数料賃貸	賃貸の仲介手数料はいくら？相場・上限・交渉・無料物件の見つけ方	権威構築	補足	解説記事
121	＋α	仲介手数料 1.1ヶ月とは	N/A	0	削除				解説		検索なし			対象外	不要	
122	＋α	仲介手数料 1000万円以下	27	30	削除	Know（金額別の仲介手数料を知りたい）	物件価格1000万円以下の場合の仲介手数料を計算したい	金額別	解説	ガイド記事	金額別	仲介手数料_金額別	仲介手数料の具体例｜800万円・400万円・3000万円の計算	権威構築	補足	解説記事
123	＋α	仲介手数料 1.1ヶ月 違法	48	40	削除	Know（仲介手数料の法律を確認したい）	仲介手数料1ヶ月分は上限なのか確認したい	法律・制度	解説	解説記事	法律・規制	仲介手数料上限	仲介手数料の上限はいくら？宅建業法の規定と2024年改正	権威構築	補足	解説記事
124	＋α	仲介手数料 1.1	42	50	削除	Know（仲介手数料の具体的条件を知りたい）	仲介手数料1.1の意味（ヶ月分？%？）を確認したい	具体例	解説	ガイド記事	具体例・ケース	仲介手数料_金額別	仲介手数料の具体例｜800万円・400万円・3000万円の計算	権威構築	補足	解説記事
125	＋α	仲介手数料 100パーセント	41	30	削除	Know（仲介手数料の具体例を知りたい）	仲介手数料のパーセンテージ（%）を知りたい	具体例	解説	ガイド記事	具体例・ケース	仲介手数料_金額別	仲介手数料の具体例｜800万円・400万円・3000万円の計算	権威構築	補足	解説記事
126	＋α	仲介手数料 1ヶ月以上	45	30	削除	Know（期間別の仲介手数料を知りたい）	仲介手数料1ヶ月分は上限なのか確認したい	時期・スケジュール	解説	ガイド記事	期間別	仲介手数料賃貸	賃貸の仲介手数料はいくら？相場・上限・交渉・無料物件の見つけ方	権威構築	補足	解説記事
127	＋α	仲介手数料 10万	42	20	削除	Know（金額別の仲介手数料を知りたい）	10万円の物件の仲介手数料がいくらか知りたい	金額別	解説	ガイド記事	金額別	仲介手数料_金額別	仲介手数料の具体例｜800万円・400万円・3000万円の計算	権威構築	補足	解説記事
128	＋α	仲介手数料 20万円以上	32	50	削除	Know（金額別の仲介手数料を知りたい）	物件価格20万円以上の場合の仲介手数料を計算したい	金額別	解説	ガイド記事	金額別	仲介手数料_金額別	仲介手数料の具体例｜800万円・400万円・3000万円の計算	権威構築	補足	解説記事
129	＋α	仲介手数料 200万円以下	46	90	記事	Know（金額別の仲介手数料を知りたい）	物件価格200万円以下の場合の仲介手数料を計算したい	金額別	解説	ガイド記事	金額別	仲介手数料_金額別	仲介手数料の具体例｜800万円・400万円・3000万円の計算	権威構築	補足	解説記事
130	＋α	仲介手数料 2ヶ月	27	10	削除	Know（期間別の仲介手数料を知りたい）	仲介手数料が2ヶ月分請求された場合の対処を知りたい	時期・スケジュール	解説	ガイド記事	期間別	仲介手数料賃貸	賃貸の仲介手数料はいくら？相場・上限・交渉・無料物件の見つけ方	権威構築	補足	解説記事
131	＋α	仲介手数料 2ヶ月分	25	20	削除	Know（期間別の仲介手数料を知りたい）	仲介手数料が2ヶ月分請求された場合の対処を知りたい	時期・スケジュール	解説	ガイド記事	期間別	仲介手数料賃貸	賃貸の仲介手数料はいくら？相場・上限・交渉・無料物件の見つけ方	権威構築	補足	解説記事
132	＋α	仲介手数料 2000万円	29	0	削除				解説		検索なし			対象外	不要	
133	＋α	仲介手数料 2社	24	20	削除	Know（仲介手数料の概要を知りたい）	仲介手数料の基本的な仕組みを理解したい	基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	仲介手数料とは？仕組み・計算・相場を完全ガイド	権威構築	必須	ピラーページ
134	＋α	仲介手数料 2	30	10	削除	Know（仲介手数料の具体例を知りたい）	仲介手数料「2」の意味（2%？2ヶ月？）を知りたい	具体例	解説	ガイド記事	具体例・ケース	仲介手数料_金額別	仲介手数料の具体例｜800万円・400万円・3000万円の計算	権威構築	補足	解説記事
135	＋α	仲介手数料 200万円	N/A	10	削除	Know（金額別の仲介手数料を知りたい）	200万円の物件の仲介手数料がいくらか知りたい	金額別	解説	ガイド記事	金額別	仲介手数料_金額別	仲介手数料の具体例｜800万円・400万円・3000万円の計算	権威構築	補足	解説記事
136	＋α	仲介手数料 200万円以下 改正	N/A	0	削除				解説		検索なし			対象外	不要	
137	＋α	仲介手数料 2重	19	0	削除				解説		検索なし			対象外	不要	
138	＋α	仲介手数料 33万円	23	260	記事	Know（金額別の仲介手数料を知りたい）	33万円の物件の仲介手数料がいくらか知りたい	金額別	解説	ガイド記事	金額別	仲介手数料_金額別	仲介手数料の具体例｜800万円・400万円・3000万円の計算	権威構築	補足	解説記事
139	＋α	仲介手数料 30万円	26	110	記事	Know（金額別の仲介手数料を知りたい）	30万円の物件の仲介手数料がいくらか知りたい	金額別	解説	ガイド記事	金額別	仲介手数料_金額別	仲介手数料の具体例｜800万円・400万円・3000万円の計算	権威構築	補足	解説記事
140	＋α	仲介手数料 3	45	70	記事	Know（仲介手数料の具体例を知りたい）	仲介手数料3%の計算方法と6万円の意味を知りたい	具体例	解説	ガイド記事	具体例・ケース	仲介手数料_金額別	仲介手数料の具体例｜800万円・400万円・3000万円の計算	権威構築	補足	解説記事
141	＋α	仲介手数料 33万円 条件	N/A	0	削除				解説		検索なし			対象外	不要	
142	＋α	仲介手数料 3.3	23	30	削除	Know（仲介手数料の具体的条件を知りたい）	仲介手数料3.3の意味（ヶ月分？%？）を確認したい	具体例	解説	ガイド記事	具体例・ケース	仲介手数料_金額別	仲介手数料の具体例｜800万円・400万円・3000万円の計算	権威構築	補足	解説記事
143	＋α	仲介手数料 300万円	N/A	20	削除	Know（金額別の仲介手数料を知りたい）	300万円の物件の仲介手数料がいくらか知りたい	金額別	解説	ガイド記事	金額別	仲介手数料_金額別	仲介手数料の具体例｜800万円・400万円・3000万円の計算	権威構築	補足	解説記事
144	＋α	仲介手数料 3000万	N/A	0	削除				解説		検索なし			対象外	不要	
145	＋α	仲介手数料 300万円以下	29	10	削除	Know（金額別の仲介手数料を知りたい）	物件価格300万円以下の場合の仲介手数料を計算したい	金額別	解説	ガイド記事	金額別	仲介手数料_金額別	仲介手数料の具体例｜800万円・400万円・3000万円の計算	権威構築	補足	解説記事
146	＋α	仲介手数料 3パーセント	42	70	記事	Know（仲介手数料の具体例を知りたい）	仲介手数料のパーセンテージ（%）を知りたい	具体例	解説	ガイド記事	具体例・ケース	仲介手数料_金額別	仲介手数料の具体例｜800万円・400万円・3000万円の計算	権威構築	補足	解説記事
147	＋α	仲介手数料 3 税込	28	0	削除				解説		検索なし			対象外	不要	
