No	区分	キーワード	SEO難易度	月間検索数	判定	検索意図	テーマ	記事の方向性	ページ種類	トピック	ページグループ	想定ページタイトル	観点	トピカル貢献	ページ役割
148	＋α	不動産投資 2棟目	N/A	20	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
149	＋α	不動産投資 2ldk	40	10	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
150	＋α	不動産投資 2ch	N/A	20	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
151	＋α	不動産投資 20代 体験談	28	20	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
152	＋α	不動産投資 2軒目	N/A	10	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
153	＋α	不動産投資 2000万円	N/A	30	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
154	＋α	不動産投資 2025	36	20	記事	Know（不動産投資の改正内容を知りたい）	法律・制度	解説	解説記事	法改正	不動産投資_法改正		権威構築	補足
155	＋α	不動産投資 300万	N/A	40	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
156	＋α	不動産投資 3件目	N/A	20	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
157	＋α	不動産投資 3ldk	N/A	10	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
158	＋α	不動産投資 3億	N/A	10	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
159	＋α	不動産投資 35年後	N/A	10	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
160	＋α	不動産投資 3000万円	N/A	20	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
161	＋α	不動産投資 35年ローン	55	30	記事	Know（不動産投資ローンを知りたい）	その他	解説	解説記事	ローン	不動産投資_ローン	不動産投資とローンの関係・活用法	権威構築	必須	解説記事
162	＋α	不動産投資 30代	31	70	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
163	＋α	不動産投資 40代	30	40	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
164	＋α	不動産投資 400万	N/A	10	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
165	＋α	不動産投資 4000万	N/A	10	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
166	＋α	不動産投資 45年ローン	28	10	記事	Know（不動産投資ローンを知りたい）	その他	解説	解説記事	ローン	不動産投資_ローン	不動産投資とローンの関係・活用法	権威構築	必須	解説記事
167	＋α	不動産投資 4件	N/A	0	削除			解説		検索なし			対象外	不要
168	＋α	不動産投資 40年ローン	N/A	0	削除			解説		検索なし			対象外	不要
169	＋α	不動産投資 4	N/A	0	削除			解説		検索なし			対象外	不要
170	＋α	不動産投資 利回り 4	N/A	10	記事	Know（不動産投資の利回りを知りたい）	その他	解説	解説記事	利回り	不動産投資_利回り	不動産投資と利回りの関係・目安を解説	権威構築	必須	解説記事
171	＋α	40歳 不動産投資	46	0	削除			解説		検索なし			対象外	不要
172	＋α	4億 不動産投資	40	0	削除			解説		検索なし			対象外	不要
173	＋α	不動産投資 500万	27	70	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
174	＋α	不動産投資 5万円	31	20	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
175	＋α	不動産投資 50代	41	70	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
176	＋α	不動産投資 5年	N/A	10	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
177	＋α	不動産投資 5棟10室	N/A	10	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
178	＋α	不動産投資 5年ルール	53	10	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
179	＋α	不動産投資 5ch	34	20	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
180	＋α	不動産投資 5億	N/A	10	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
181	＋α	不動産投資 5000万	N/A	30	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
182	＋α	不動産投資 5年で売却	N/A	0	削除			解説		検索なし			対象外	不要
183	＋α	不動産投資 60代	N/A	10	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
184	＋α	不動産投資 6000万円	37	0	削除			解説		検索なし			対象外	不要
185	＋α	不動産投資 600万	N/A	20	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
186	＋α	不動産投資 返済比率 60	27	30	記事	Know（不動産での不動産投資を知りたい）	税金	解説	解説記事	不動産特化	不動産投資税率		権威構築	補足
187	＋α	不動産投資 利回り 6パーセント	30	0	削除			解説		検索なし			対象外	不要
188	＋α	不動産投資 利回り 6	29	10	記事	Know（不動産投資の利回りを知りたい）	その他	解説	解説記事	利回り	不動産投資_利回り	不動産投資と利回りの関係・目安を解説	権威構築	必須	解説記事
189	＋α	60歳からの 不動産投資	N/A	20	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
190	＋α	60歳 不動産投資	29	0	削除			解説		検索なし			対象外	不要
191	＋α	不動産投資 7億円	N/A	10	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
